board_hash,value
('253.05.0-1-1', 7),0.451479900843035
('255.03.0-1-1', 7),0.45760527631747794
('352.06.0-11', 7),0.12779232926748443
('453.05.011', 2),0.8382844753055604
('256.02.01-1', 0),0.6880064692467402
('356.02.01-1', 1),0.103066896236855
('454.04.0-11', 0),0.8320253611876106
('356.02.0-1-1', 1),0.74530067114999
('253.05.01-1', 4),0.6615719999242408
('254.04.01-1', 1),0.7580364001026298
('354.04.0-11', 2),0.9021258094398021
('355.03.0-1-1', 4),0.09786524356915155
('455.03.0-1-1', 1),0.009886633715
('354.04.0-1-1', 2),0.06719835812227802
('453.05.0-11', 1),0.009501705529198467
('456.02.0-1-1', 1),6.735686192471394e-16
('355.03.0-1-1', 2),0.5158487507035385
('355.03.01-1', 2),0.212092653834812
('256.02.0-1-1', 2),0.7319962673942448
('252.06.0-11', 2),0.8743685
('356.02.0-11', 0),0.71783909
('454.04.011', 1),0.8540315578273099
('455.03.0-1-1', 2),0.17149999999999999
('454.04.01-1', 1),6.323112169239072e-20
('452.06.01-1', 1),0.084035
('255.03.01-1', 1),0.7355606232907814
('350.08.0-11', 1),0.2956305022653955
('258.00.0-1-1', 3),0.2583844253013797
('355.03.0-11', 1),0.8813717348709381
('352.06.011', 2),0.8015472546479694
('254.04.0-11', 1),0.9478635973205256
('453.05.01-1', 2),1.7942052669604186e-32
('3544-11', 3),0.5698666913899945
('457.01.0-1-1', 3),4.28848056539023e-22
('353.05.01-1', 6),0.008412455481549692
('35621-1', 3),0.07702688413531401
('254.04.01-1', 0),0.8540140348352618
('358.00.01-1', 2),0.3027088199506023
('353.05.0-1-1', 2),0.027833026903988783
('450.08.0-11', 3),0.15056731481077548
('358.00.0-1-1', 1),0.26197370672594367
('456.02.0-11', 3),0.6251555096798584
('351.07.0-11', 1),0.08852851628461735
('257.01.0-1-1', 3),0.08276672715795422
('356.02.0-1-1', 2),0.7214352598999323
('455.03.011', 1),0.7331102189020433
('454.04.011', 3),0.7822325417743352
('353.05.011', 4),0.7983752187918515
('455.03.011', 0),0.833905492381367
('358.00.01-1', 3),0.17271973982422964
('353511', 1),0.6713213507670563
('458.00.01-1', 0),0.0201768035
('254.04.0-11', 3),0.9499999999215868
('354.04.011', 1),0.7737507452189026
('353511', 3),0.6666204969676761
('353.05.0-1-1', 1),0.01894549072659468
('352.06.0-1-1', 4),0.04785283513544221
('453.05.0-11', 4),0.08962170384933296
('3544-11', 1),0.817666085854479
('354.04.0-1-1', 4),0.2492094751798806
('35531-1', 1),0.11685737889555226
('351.07.0-11', 3),0.01485836077354393
('257.01.0-1-1', 1),0.1893706903058812
('256.02.01-1', 2),0.7453655847089837
('255.03.01-1', 2),0.5779480991584905
('450.08.011', 0),0.045429836628492995
('255.03.01-1', 0),0.8189528725099311
('356.02.0-11', 4),0.5579075
('353.05.0-1-1', 4),0.05060612748240875
('35711-1', 3),0.06122338964004899
('356.02.01-1', 4),0.08479850097773345
('354.04.0-11', 0),0.9024440266965489
('357.01.01-1', 3),0.0302486066511886
('352.06.01-1', 2),0.07130842866294718
('450.08.0-11', 4),0.435131489816282
('358.00.0-1-1', 2),0.44975233323346997
('3544-11', 2),0.8575391868000622
('355.03.0-11', 2),0.9024996950580929
('253.05.011', 4),0.912940565
('354.04.0-11', 4),0.8718416142235028
('355.03.01-1', 4),0.6177465965925862
('255.03.0-11', 2),0.635
('257.01.0-1-1', 4),0.3836577792524053
('357.01.01-1', 2),0.16631141205578243
('450.08.0-11', 0),0.12240041599146889
('358.00.0-1-1', 0),0.23958869188808757
('356.02.0-1-1', 4),0.4004179887954745
('454.04.0-11', 4),0.799419409665732
('35531-1', 4),0.21712030275670235
('453.05.011', 4),0.7421173889710431
('455.03.0-11', 4),0.7744607127183383
