board_hash,value
('326969259195469965611', 0),0.3
('40665299340045231861-1', 2),0.396
('-727426727980667338711', 1),0.42672
('16322002629649742201-1', 4),0.4365504
('11053472055744988441-1', 2),0.62
('63894917694313925631-1', 0),0.4984
('-12766591483855218231-1', 1),0.459488
('88852545964136033011-1', 0),0.44703616
('72912693825559241411-1', 2),0.4430515712
('602141134351018591711', 1),0.2650659016704
('66010066463921571451-1', 4),0.44136848089088
('-26891527314447344471-1', 0),0.76112
('467395123891704056211', 1),0.52048
('-14180840563510618621-1', 2),0.459488
('-14406653192962737631-1', 0),0.45965149272866823
('-55568756763379285291-1', 1),0.3482486693654401
('78948295633583354901-1', 0),0.2849184679890444
('-40721757265403530701-1', 2),0.44136848089088
('74964573338451241421-1', 1),0.2394057612716581
('-21815594374165088841-1', 4),0.36616444330408277
('6837830487853663192-11', 1),0.3
('-1427112671608939624-11', 1),0.396
('-111843432369597832411', 0),0.42672
('-22371144687815619271-1', 1),0.35591483697725446
('88982123269390773061-1', 2),0.439696128
('-63286420754012223871-1', 0),0.44070276096
('-905005550567179304611', 1),0.32611164328188547
('-79797909707861393101-1', 0),0.24420586660456473
('7384815156672633537-11', 2),0.17544973755145854
('5135660816578315021-1', 1),0.1338773754813285
('37464782756670354961-1', 4),0.10256801161348497
('56685453982834682371-1', 1),0.62
('200393099666572545111', 0),0.4984
('-39178037115362396781-1', 0),0.459488
('86797566292083284071-1', 1),0.44703616
('-674069630684426472-11', 1),0.4430515712
('-54859288687789858301-1', 0),0.3836092279442637
('437371925691286691-1', 1),0.44136848089088
('-85840728924699666271-1', 2),0.4412379138850816
('-234537547232570571811', 0),0.3635861976054306
('33233637384626840261-1', 1),0.18499518640086987
('-67793831578375049571-1', 0),0.17595873867426567
('-45487898704545563711-1', 2),0.2259502787603863
('-5227580952119817858-11', 1),0.08327228377242314
('-5844180917247794298-11', 1),0.18
('-5544722395552960352-11', 1),0.2952
('78810685611104777941-1', 1),0.24535502081754818
('25549867003981880091-1', 0),0.21125127355636542
('41688092560936474191-1', 0),0.15903515011344388
('-13012095675529448441-1', 1),0.14486585723919276
('9386173922159588061-1', 1),0.11793705266616017
('75915518915782731361-1', 0),0.09644265592746104
('1904676915978778090-11', 1),0.12604423590349967
('-5227580952119817858-11', 2),0.1444781919239192
('-3771938333635886783-11', 1),0.00034843568510244523
('5937400369808006089-11', 0),0.293852402671772
('-78661897174240705151-1', 0),0.4094569565704562
('-66317485674104670271-1', 1),0.32703916524296645
('43707782807463336931-1', 1),0.23572466707186268
('67710707256433573171-1', 1),0.2018802513633381
('73848151566726335371-1', 0),0.16435880842268713
('5135660816578315021-1', 0),0.13036187511549377
('37464782756670354961-1', 1),0.10352708787457623
('89099307330214505411', 1),0.3
('-2496689245322694291-1', 1),0.396
('4181071725951908359-11', 0),0.3497300633519915
('-42442544499083612371-1', 0),0.26067533124536146
('13430598208867900891-1', 1),0.206992097908485
('-56091145870866525611-1', 1),0.16221817807188016
('26243896002257283871-1', 1),0.12840974766373622
('-450644517132831174111', 0),0.10080057559301653
('-52275809521198178581-1', 0),0.08113502934926015
('8540829698542212203-11', 1),0.3
('-5824766754383039728-11', 1),0.2376
('23716551417685255241-1', 1),0.454432
('-190785544744740711511', 1),0.4365504
('-13100172988922109991-1', 0),0.4424355306323837
('23728377499227518061-1', 0),0.37352263091071747
('71279452818203649751-1', 1),0.28843346376670376
('56124182485365974751-1', 1),0.22782775311775028
('-84184363206378969181-1', 1),0.211817307624582
('-45925175150484977101-1', 0),0.167668245726839
('258014126539546547-11', 0),0.14502117713986454
('513566081657831502-11', 1),0.11272698869900062
('-522758095211981785811', 0),0.08524239785476316
('7426090484568401289-11', 1),0.3
('6839074818872125100-11', 0),0.396
('32973741596980279161-1', 1),0.42672
('-68899470078888808561-1', 1),0.40265214376345604
('-28075818603844978361-1', 1),0.3655145092010476
('-141938997042745328111', 1),0.3813862995203352
('-52698140255170232121-1', 0),0.24570039612943723
('-18630741741178045881-1', 0),0.20327494285228725
('4926995487893885421-1', 1),0.1966077268474261
('65933939688291892681-1', 1),0.1919280578396943
('-377193833363588678311', 0),1.5630223100705036e-05
('-20851952169989629431-1', 0),0.40933363900803854
('-68756485705329470801-1', 0),0.3233714149114538
('-663174856741046702711', 1),0.2609125077093797
('43707782807463336931-1', 0),0.26062060742747484
('73848151566726335371-1', 1),0.16773963463329425
('-5227580952119817858-11', 0),0.08550703729462857
('-5089578267195492032-11', 1),0.3
('6505021121553320862-11', 0),0.396
('52533488430835093451-1', 3),0.5120319999999638
('447277021034368814011', 0),0.4365504
('35684058232121977311-1', 0),0.41632582934528006
('-33601747301861260591-1', 0),0.35156740653383683
('-3943377768691258411-1', 1),0.38373126093209603
('437077828074633369311', 0),0.20506146654780097
('-376579055534113344-11', 1),0.3
('3083845803309658428-11', 1),0.396
('-43427013522420003181-1', 0),0.42672
('-19313184791209032411-1', 1),0.4365504
('4929939751549921738-11', 0),0.439696128
('8221842070861695364-11', 3),0.44070276096
('-45064451713283117411-1', 0),0.23228953050300574
('8672569542631186747-11', 1),0.3
('-8035451518075658793-11', 1),0.396
('36342372520237914721-1', 1),0.42672
('-14432347863992267211-1', 1),0.4365504
('325660252427229481-1', 0),0.439696128
('6157493872900167413-11', 1),0.360421656576
('-4931869006454674561-1', 0),0.22190408602028847
('15020344317154632951-1', 3),0.44112796272230403
('4879139621388762573-11', 0),0.4411609480711373
('1179258051292202958-11', 0),0.10519493399110774
('-75520471251532903201-1', 1),0.62
('-4023594142361656451-11', 0),0.4511683072
('-91583865451370673891-1', 1),0.43034119168000007
('59848174253823785471-1', 1),0.33295495893994703
