board_hash,value
('-65725016638914821352.06.011', 1),0.17149999999999999
('-65725016638914821352.06.011', 0),0.04117715
('-26329796270432764392.06.011', 1),0.44975
('-26329796270432764391.07.011', 1),0.12923742649999997
('45517656299331803713.05.011', 0),0.35
('-92068079814684934752.06.011', 1),0.44975
('81227562741608611014.04.0-1-1', 1),0.0005699447592686572
('-6599103454402035372.06.0-1-1', 0),0.03372203395295125
('-90230840237786186304.04.0-1-1', 1),0.11671128141480869
('-46316152603575698282.06.0-1-1', 1),0.9499999999999998
('33619750113016031452.06.0-1-1', 0),0.9024999999999997
('-9076468457787844372.06.0-1-1', 1),0.8556305254764298
('79689565908400040522.06.0-1-1', 1),0.841955
('-90274480899863484192.06.0-1-1', 0),0.6826884499999999
('-29821337761313421982.06.0-1-1', 1),0.57363982625
('84907256458687126694.04.0-1-1', 1),3.0019363957731612e-22
('51509556442186232072.06.0-1-1', 0),1.9720304940612754e-11
('-9076468457787844374.04.0-1-1', 1),0.04828149773218274
('33619750113016031452.06.0-1-1', 1),0.2509026001995226
('-9076468457787844372.06.0-1-1', 0),0.6462980409159181
('-37628953588608480962.06.0-1-1', 1),0.05963068539102432
('-67190892482160155632.06.0-1-1', 1),0.9499999999999328
('-3766758306329981162.06.0-1-1', 0),0.9010101680722967
('-69612512988476977822.06.0-1-1', 1),0.8496183557134882
('69255535706425158054.04.0-1-1', 1),4.4161228230918897e-41
('-20587920150099428662.06.0-1-1', 0),2.248299193996553e-06
('-61247555139148169971.07.0-1-1', 1),1.4112245693972706e-05
('85412400729090152161.07.0-1-1', 1),0.635
('-69612512988476977822.06.0-1-1', 0),0.530975
('60742573472359342943.05.0-1-1', 1),0.44500103375
('52022122619768039392.06.0-1-1', 1),0.9499999999999998
('51509556442186232076.02.0-1-1', 1),0.0001368437367004046
('-9076468457787844375.03.0-1-1', 0),0.1315905799941144
('-37628953588608480963.05.0-1-1', 1),1.4663125156166459e-05
('-82243786993887311651.07.0-1-1', 1),0.8573312397570333
('-45513779950638300951.07.0-1-1', 0),0.7999088629245191
('-49839145177885989871.07.0-1-1', 1),0.8088818318941594
('-70087370071186736821.07.0-1-1', 1),0.9499999999999998
('79795901096614679851.07.0-1-1', 0),0.9024999999999997
('-88004742077688110231.07.0-1-1', 1),0.8573749915586479
('-55373012876125092134.04.0-1-1', 1),0.3049628928036984
('84907256458687126694.04.0-1-1', 0),0.6308611404608702
('51509556442186232074.04.0-1-1', 1),0.17540118510098937
('84907256458687126696.02.0-1-1', 1),0.0033911153642450006
('17571041379636997892.06.0-1-1', 1),0.9499999999999998
('-46316152603575698284.04.0-1-1', 0),0.37987171247137885
('36495283171179271771.07.0-1-1', 1),0.8573130966260697
('-56294162832735491721.07.0-1-1', 0),0.8537848845270062
('57152151809939474471.07.0-1-1', 1),0.8573749817064594
('51509556442186232077.01.0-1-1', 1),0.03634509245764535
('9587968821749374402.06.0-1-1', 1),0.9489531626870575
('89540918641829983053.05.0-1-1', 0),0.4823698677888035
('33619750113016031454.04.0-1-1', 1),0.5048929937576859
('10388502591583696762.06.0-1-1', 1),0.89705795
('-17089067816864358972.06.0-1-1', 0),0.56857382440475
('-26329796270432764392.06.0-1-1', 1),0.3800090803045225
('-50313481005274580671.07.0-1-1', 1),0.9499999940149056
('57152151809939474471.07.0-1-1', 0),0.9024133448436125
('-74057803269321293601.07.0-1-1', 1),0.8571551103391368
('89540918641829983055.03.0-1-1', 1),1.588294562068237e-51
('33619750113016031453.05.0-1-1', 0),2.562812685772563e-09
('-55954045227478415122.06.0-1-1', 1),0.48572932856976375
('-9306344868512120122.06.0-1-1', 0),0.9024999998151572
('34991104005943703536.02.0-1-1', 1),0.245
('-19113785472031158943.05.0-1-1', 0),0.44975
('51509556442186232075.03.0-1-1', 1),1.179635641378762e-146
('-44569639318724687391.07.0-1-1', 0),0.9022972688396464
('-74057803269321293605.03.0-1-1', 1),0.6481010876239096
('9599888283921969933.05.0-1-1', 1),0.635
('51509556442186232075.03.0-1-1', 0),0.530975
('-9076468457787844375.03.0-1-1', 1),0.3789062446967
('71044126926472006834.04.0-1-1', 0),0.5338322106847967
('-74057803269321293604.04.0-1-1', 1),0.6359119105331396
('-64868472706303682202.06.0-1-1', 1),0.7295
('-51809506585390830872.06.0-1-1', 0),0.530975
('-3766758306329981162.06.0-1-1', 1),0.5350793047925
('45517656299331803713.05.0-1-1', 1),1.5598674114227127e-07
('-92068079814684934752.06.0-1-1', 0),0.0020316490204479805
('-26329796270432764391.07.0-1-1', 1),0.3682192187886246
('-14218017736392917462.06.0-1-1', 1),0.937288613795
('16654150188686170261.07.0-1-1', 1),0.8743685
('36461075487986201001.07.0-1-1', 0),0.6208775225
('-56294162832735491721.07.0-1-1', 1),0.8205292370242676
('-9076468457787844374.04.0-1-1', 0),2.450008028068614e-57
('-81465632920932194544.04.0-1-1', 1),0.028824005
('-5615305977682092843.05.0-1-1', 0),0.1077875227625
('82748040211729629963.05.0-1-1', 1),0.18234205856431251
('57152151809939474473.05.0-1-1', 0),0.5413249171872481
('-74057803269321293603.05.0-1-1', 1),0.8461442978170155
('-46316152603575698283.05.0-1-1', 0),0.08623989655595445
('51509556442186232073.05.0-1-1', 0),0.029476185686886175
('4270029530829133854.04.0-1-1', 1),7.618024607473062e-06
('-14218017736392917463.05.0-1-1', 0),0.0042800772608922195
('-55373012876125092137.01.0-1-1', 1),0.0011631525699360352
('-9076468457787844373.05.0-1-1', 1),3.128627308898977e-10
('57224256491297074864.04.0-1-1', 1),0.32259473795
('46218794820259438723.05.0-1-1', 0),0.19378541829500004
('87105423677748936512.06.0-1-1', 1),0.6097368049999999
('-2841002684721386422.06.0-1-1', 1),0.9499999999999998
('-90230840237786186302.06.0-1-1', 0),0.902499999999998
('-39911566933384469592.06.0-1-1', 1),0.8573614811982186
('-67337343264743781342.06.0-1-1', 1),0.9240583955
('-70087370071186736822.06.0-1-1', 0),0.8347402421030302
('79795901096614679851.07.0-1-1', 1),0.7438469762404244
('46218794820259438722.06.0-1-1', 1),0.9499999999968357
('87105423677748936512.06.0-1-1', 0),0.7709055749207185
('64816630173303405041.07.0-1-1', 1),0.635
('-55982783438274424482.06.0-1-1', 0),0.530975
('-28645637218601308162.06.0-1-1', 1),0.24783714898223747
('34868578958981037916.02.0-1-1', 1),0.17149999999999999
('-65725016638914821352.06.0-1-1', 0),0.11919361944455023
('-26329796270432764393.05.0-1-1', 1),0.038759464932284125
('-30988293130280572291.07.0-1-1', 1),0.7341923651519423
('-14218017736392917464.04.0-1-1', 0),0.42372592468899023
('-11747511412057815491.07.0-1-1', 1),0.9499999999998894
('-76276704322701040381.07.0-1-1', 0),0.9024999999467616
('9587968821749374403.05.0-1-1', 1),0.635
('-55373012876125092136.02.0-1-1', 1),0.004844450520350001
('89540918641829983056.02.0-1-1', 1),3.579911161631205e-56
('33619750113016031454.04.0-1-1', 0),1.7384919591712838e-11
('15081827192845616872.06.0-1-1', 1),0.9411020296564999
('-11747511412057815492.06.0-1-1', 0),0.86079495070157
('-76276704322701040381.07.0-1-1', 1),0.7243766328295964
('-79762515829843810441.07.0-1-1', 1),0.841955
('-70087370071186736821.07.0-1-1', 0),0.7564256316794374
('-81425679611855472662.06.0-1-1', 1),0.9240583955
('36495283171179271774.04.0-1-1', 0),0.530975
('30703581436726584531.07.0-1-1', 1),0.9469479961721794
('-39911566933384469592.06.0-1-1', 0),0.8112617298874999
('57152151809939474473.05.0-1-1', 1),0.6548538265671611
('89509188679489698111.07.0-1-1', 1),0.8567875103495876
('18922452361155899153.05.0-1-1', 0),0.5579075
('25077045418811989443.05.0-1-1', 1),0.5090036375
('1168788581966672042.06.0-1-1', 0),0.9024999978791478
('-20587920150099428663.05.0-1-1', 0),0.012249022380549226
