board_hash,value
('91389710436913764961-1', 0),0.62
('-83258223651477359021-1', 0),0.4984
('-67335923420613543011-1', 0),0.459488
('-20053668590053666421-1', 4),0.44703616
('84707662587206758301-1', 0),0.4430515712
('-84613138517047765891-1', 0),0.441776502784
('-65937357990390566411', 0),0.319696128
('-64914120937709171261-1', 1),0.373052392030208
('-75650195661544222101-1', 0),0.42672
('-1389046411518843268-11', 2),0.3797244463440187
('-299873205150630541511', 0),0.25386621724687153
('-14518914259372562751-1', 0),0.10661837027243598
('-522758095211981785811', 0),0.07936717409827328
('48681958099293509781-1', 0),0.76112
('289927572410382556811', 3),0.4984
('-45903766709710437391-1', 0),0.459488
('-38738075390244390871-1', 0),0.44703616
('-16044262800515792341-1', 6),0.4430515712
('-91955823686939837011', 0),0.405397366063104
('-18735604304216607611-1', 0),0.23417070234197798
('23191345380927154251-1', 3),0.4412379138850816
('792957621939994800311', 0),0.2733987950425224
('82218420708616953641-1', 0),0.10495377714727146
('-45064451713283117411-1', 1),0.11897905247616211
('-52275809521198178581-1', 0),0.06859158033894866
('55679649305503025731-1', 1),0.6920000000000001
('-2814435233830993329-11', 0),0.4984
('-75283791071888826121-1', 0),0.44394368
('-552721028907010403611', 0),0.268221696
('35197920137955986961-1', 2),0.4430515712
('30925487482077590751-1', 0),0.40836228055719737
('-27337533297390529961-1', 6),0.44136848089088
('-818505688798063165711', 0),0.4412379138850816
('69171425718110354041-1', 0),0.4020222156200932
('79571441393048915181-1', 3),0.4411827623818324
('822184207086169536411', 0),0.2365200425042816
('-45064451713283117411-1', 0),0.08677554725555991
('-52275809521198178581-1', 6),0.06864409646203631
('-4035399717488076203-11', 1),0.3
('-56816352079165643711-1', 0),0.396
('789441598404181129511', 0),0.42672
('65772241326287483281-1', 0),0.4365504
('-73885678925202702711', 0),0.40501380924322616
('-67960958092899162991-1', 0),0.35579872904510745
('29488685822553398531-1', 4),0.44102488350720004
('-16759883049975713251-1', 1),0.16125342465245474
('-14700784475232897571-1', 0),0.10158602052300382
('-2240881016365160442-11', 1),0.3
('-7811817346974802337-11', 0),0.396
('76132342680838194961-1', 4),0.42672
('469111752156706595211', 3),0.4365504
('52623214672051327531-1', 0),0.439696128
('-44875650426752389731-1', 0),0.44070276096
('-305662606726559039411', 0),0.44102488350720004
('-268117880007222442711', 0),0.3237890717567637
('-14193899704274532811-1', 1),0.2830730989826297
('-52698140255170232121-1', 0),0.1803602011745381
('-18630741741178045881-1', 0),0.14740000770696546
('4926995487893885421-1', 0),0.11950723055780656
('-450644517132831174111', 0),0.08578604381364344
('41687012040479795731-1', 0),0.62
('-67642380632277857761-1', 0),0.4984
('-50701351572653536651-1', 0),0.41224320000000003
('60322134458897313891-1', 0),0.40013952
('59284649471410755801-1', 0),0.4430515712
('124674012164034103011', 2),0.441776502784
('72877614091059140941-1', 1),0.44136848089088
('71516774403699621541-1', 0),0.30482142936926876
('-13890464115188432681-1', 4),0.3611518207596265
('-299873205150630541511', 3),0.2958706633797894
('-5227580952119817858-11', 0),0.07846999563357597
('-580547435999630805-11', 1),0.3
('7080589659547389626-11', 2),0.378727962722304
('728776140910591409411', 0),0.35546561160478723
('-13890464115188432681-1', 2),0.36357998224032306
('221773106494439755111', 2),0.28519957128681417
('-273452965195383591811', 2),0.3
('62122826269835646811-1', 0),0.396
('-56008734547049597191-1', 2),0.42672
('607198530803902282011', 0),0.4365504
('-82904350356646111051-1', 2),0.439696128
('4441367002317148301-1', 0),0.44070276096
('-608245659989026577411', 1),0.44102488350720004
('-69029526439860921801-1', 2),0.3782418104633015
('-561578970977219387711', 0),0.26388742142999194
('-52275809521198178581-1', 2),0.0704437989311986
('872260441276563456511', 2),0.3
('-50777367138149151891-1', 1),0.396
('298403738492188890-11', 3),0.42672
('76709719373623736681-1', 1),0.4365504
('748631469469667411', 2),0.439696128
('37277639075424045901-1', 0),0.34782516118622575
('32859045271817516221-1', 2),0.36061493010432
('210466841575601962-11', 0),0.3255433153206683
('-522758095211981785811', 2),0.1157708748355789
('-56997211227184310871-1', 0),0.6920000000000001
('-62337886399238256411', 3),0.4984
('82910640300664643721-1', 0),0.589318948864
('88725288469317258051-1', 0),0.39587510851665925
('11513851063098879071-1', 5),0.4430515712
('66690379601692430961-1', 0),0.34785525322022914
('-270792326226202507311', 0),0.3136400957423842
('23337077653289508551-1', 0),0.20296780226563
('17260046050831197331-1', 2),0.17635527731901596
('-29987320515063054151-1', 1),0.1597621134467159
('-450644517132831174111', 3),0.08472151502250684
('-52275809521198178581-1', 1),0.07019698728957387
('59206422934910286771-1', 1),0.62
('5806404208370174954-11', 0),0.45986499584
('40742718128412893081-1', 0),0.3614218866688
('-49331551154499088761-1', 0),0.34515284949401603
('600481697980662786111', 0),0.35816917347008514
('55120110700887848571-1', 0),0.263299047835482
('12467401216403410301-1', 2),0.44136848089088
('72877614091059140941-1', 0),0.257015322458536
('-13890464115188432681-1', 3),0.3930347561168363
('-52275809521198178581-1', 5),0.06846859286147759
('69057846418602036251-1', 0),0.62
('-3439999596453459131-1', 0),0.4984
('-82182254875426458711-1', 0),0.459488
('-58633356244093351781-1', 2),0.44703616
('164967291117275039011', 0),0.4430515712
('66604659234078430511-1', 1),0.441776502784
('12559122957149531581-1', 0),0.44136848089088
('-4940326696244068432-11', 0),0.4412379138850816
('-875210594665124755511', 1),0.44119613244322614
('2091952363522143591-1', 0),0.6920000000000001
('-47453402102022467591-1', 0),0.52048
('42197894594395713241-1', 0),0.44224640000000004
('79107538719545479761-1', 0),0.40974054400000004
('68794411710699340831-1', 0),0.3969479168
('66373672217065645071-1', 1),0.441776502784
('-14061784318629259961-1', 0),0.44136848089088
('-7135958837368114220-11', 0),0.4412379138850816
('-1863074174117804588-11', 4),0.44119613244322614
('65933939688291892681-1', 0),0.10446054442574484
('-640926977644639663911', 0),0.36760448
('-38565816022319369961-1', 0),0.44095902719895147
('63551504619320758781-1', 0),0.40306816
('-23309088961735298211-1', 0),0.39728552550400004
('-147252827641766146811', 0),0.3574200415059968
('-35073881597030319541-1', 2),0.32802147598520975
('47894100323917667551-1', 0),0.1785153954460455
('-56157897097721938771-1', 0),0.10954656978935687
('89375958093886528331-1', 0),0.7916019200000001
('69851642634346455781-1', 0),0.5954875052032
('65280808803143716651-1', 0),0.35327413248
('58109890457184051171-1', 0),0.3227847185642292
('-650737663928665835611', 3),0.4430515712
('66689375706629850901-1', 0),0.4068424044544
('-27858541181964790761-1', 0),0.395010657959936
('-905005550567179304611', 0),0.4412379138850816
('-79797909707861393101-1', 0),0.3823194237466936
('738481515667263353711', 0),0.30282621339956906
('5135660816578315021-1', 0),0.12801576941799267
('37464782756670354961-1', 0),0.10285933898715352
('-760464309250205215811', 3),0.3
('-835534258541670553111', 3),0.396
('-14193899704274532811-1', 0),0.2182925170548682
('-18630741741178045881-1', 2),0.20887177398203832
('15415676618661786041-1', 1),0.62
('-89684306534013531411-1', 0),0.4984
('-6574857205751743910-11', 0),0.459488
('59231680226616496191-1', 2),0.44703616
('-918795090701073618711', 0),0.4430515712
('724922478083239312711', 0),0.441776502784
('60047732756504734741-1', 3),0.44136848089088
('62223328859286874921-1', 3),0.4412379138850816
('-886261865887414063811', 0),0.44119613244322614
('74863146946966741-1', 0),0.32645336519785595
('-681463324647763494911', 2),0.38736878677371556
('39600485437354741361-1', 0),0.08625565591027638
('1110315965046399705-11', 1),0.108
('-7930900742032313840-11', 1),0.396
('-67274279101050750481-1', 0),0.3847940296704
('7440494412018434220-11', 0),0.40097482481664
('-38690251642320128241-1', 0),0.23167404546241885
('-708322411366441770311', 0),0.2985484674120698
('-23453754723257057181-1', 1),0.17901149070543038
('33233637384626840261-1', 0),0.15699556603016265
('-67793831578375049571-1', 0),0.12631545934599128
('-450644517132831174111', 2),0.08558054603125603
('-761681965018440939611', 2),0.3
('-4394391674800301181-1', 0),0.396
('76909101154697945111-1', 0),0.42672
('11173168174159617121-1', 0),0.4365504
('58558126314259152001-1', 1),0.439696128
('1519356545118934452-11', 1),0.44070276096
('-1451891425937256275-11', 0),0.31709632455974895
('-3785095192257047288-11', 1),0.3
('-195990647543690296-11', 2),0.396
('2624389600225728387-11', 0),0.1393778571041699
('751721910794637460811', 4),0.3
('12766254520809867221-1', 0),0.41661516800000004
('-890401115963935877711', 0),0.42672
('19041610115443026351-1', 2),0.4365504
('-86898575718604116411-1', 0),0.40036807680000003
('91696043995153596471-1', 1),0.44070276096
('601827400008445159111', 1),0.44102488350720004
('-7536772063252667211-1', 2),0.44112796272230403
('-63722914344935186071-1', 0),0.35885226543823723
('23846560491230004931-1', 0),0.31396110130667704
('2217731064944397551-11', 0),0.30147870150399025
('-4506445171328311741-11', 1),0.18717321130262274
('132936004965613397611', 2),0.3
('-35889764003245046641-1', 0),0.396
('-61458567737181336041-1', 0),0.42672
('-46404739516231616891-1', 0),0.4365504
('-65097658394103912741-1', 1),0.439696128
('977371570927401109-11', 1),0.44070276096
('-10226981780302735241-1', 4),0.44102488350720004
('-1938707342985432561-1', 0),0.62
('578361660828491829811', 2),0.4984
('819122169319060387611', 2),0.459488
('-84919279387640429991-1', 0),0.388172609536
('-60740615058567314541-1', 0),0.32607702325329924
('88580627817705521111-1', 5),0.441776502784
('-264234908673921456111', 0),0.3281822583022263
('37192185456372642221-1', 0),0.2955492393900156
('-55962054379794566441-1', 3),0.35360076317612604
('24480161302450542961-1', 0),0.23365579741925563
('-272048356749773900311', 2),0.25627053165393066
('22382994898054268451-1', 0),0.11430519810928844
('-89394410177559055371-1', 0),0.62
('646831040531854103011', 3),0.4984
('59249631539334585611-1', 0),0.459488
('-71143321793037918751-1', 0),0.44703616
('106761732630808893911', 2),0.4430515712
('-83912528874402861631-1', 0),0.441776502784
('-40557392687262601081-1', 0),0.44136848089088
('47681487981014132161-1', 0),0.4412379138850816
('-914256453944618139411', 2),0.44119613244322614
('-41333939452467171961-1', 2),0.4411827623818324
('172600460508311973311', 0),0.251301222111132
('-29987320515063054151-1', 0),0.12929012408057383
('-450644517132831174111', 5),0.08550431191497382
('-6163166603496919091-1', 0),0.62
('-46375385147263051551-1', 1),0.4984
('244677766981304008011', 0),0.459488
('-90213659890429774491-1', 0),0.44703616
('284866108968705179-11', 1),0.4430515712
('-28820044506122241-1', 0),0.40161630167039997
('-17304442361229826251-1', 0),0.44136848089088
('-18203388240094410311-1', 3),0.4412379138850816
('74541488230122163161-1', 0),0.44119613244322614
('4395501625229856906-11', 0),0.3896184151965214
('738481515667263353711', 2),0.3358498534116565
('86682378367758738141-1', 0),0.7999999948427876
('7438313772388497431-1', 0),0.6205446304040034
('89306144785399827211-1', 0),0.41583682765127683
('-69705983103647074411-1', 1),0.3618075778273772
('2216851320018038381-11', 1),0.0956991393792
('-52926228355759821721-1', 0),0.28098753536299426
('-6625786155478341229-11', 4),0.44136848089088
('71595292849739019791-1', 0),0.24552614572487255
('-564547104201300838811', 0),0.21054859715078886
('-11798126848158891521-1', 2),0.11856027505857163
('-58831432303854081421-1', 0),0.09598236751562182
('15735966283291838471-1', 0),0.6920000000000001
('628018391536710711211', 7),0.4984
('-87849933065878951361-1', 0),0.459488
('-4268757119416857861-1', 0),0.44703616
('71701783433414195821-1', 0),0.4430515712
('-9541802363220518811-1', 0),0.441776502784
('-56973386736590322541-1', 0),0.44136848089088
('317575015587747219611', 0),0.4412379138850816
('-36827910209963201051-1', 0),0.4059555933510173
('-53196636403315180361-1', 0),0.4411827623818324
('57314142926129066671-1', 0),0.4411784839621864
('51356608165783150211', 0),0.3387698967725818
('-522758095211981785811', 1),0.16771056896307404
('-6375782735402005781-1', 0),0.7999999995989753
('-43037764832349408381-1', 0),0.47032448000000004
('170035831147061817611', 0),0.459488
('75395828886719554951-1', 0),0.42114839248921276
('-23738338854723974741-1', 0),0.36759665730854807
('26206247695738093281-1', 0),0.3511758062888154
('-14253745047036557501-1', 0),0.34600327143716336
('-77683227382993908971-1', 1),0.37546379519094125
('-63104653091803904221-1', 4),0.44119613244322614
('-78576848783798545321-1', 0),0.3991571500566518
('-53126802390118056291-1', 7),0.4411784839621864
('-991053533901044404-11', 0),0.34834398603846567
('6383993003543793982-11', 1),0.3
('708058965954738962611', 2),0.396
('728776140910591409411', 2),0.42672
('221773106494439755111', 0),0.25279266088922225
('19046769159787780901-1', 0),0.09672010276481413
('226831371167843959-11', 1),0.3
('77391894853393568371-1', 0),0.396
('54380349626034909811', 0),0.42672
('-37722527376627230861-1', 1),0.4365504
('-63933032927050291781-1', 2),0.439696128
('-81844928580879979751-1', 0),0.44070276096
('-580547435999630805-11', 0),0.44102488350720004
('728776140910591409411', 1),0.4211929480711373
('71516774403699621541-1', 2),0.37355215530893615
('-27058626824139445931-1', 0),0.7352000000000001
('88954764916896253701-1', 0),0.4984
('-66808193576138203501-1', 3),0.459488
('-115526236592856601211', 0),0.394941696
('23036446767170652251-1', 0),0.365683215745024
('-75884946262427891301-1', 5),0.441776502784
('714160061060445613111', 0),0.19920092271419546
('-87359689972042769811-1', 0),0.1595374543841861
('79295762193999480031-1', 0),0.12858197893433682
('82218420708616953641-1', 1),0.15256822008391377
('-5065363683197352748-11', 1),0.3
('-2835144596643412992-11', 3),0.396
('-48272576426574387561-1', 0),0.42672
('852852364630202587811', 0),0.35067190302094553
('23968026458451608291-1', 0),0.3742164777407744
('15080135512294229991-1', 0),0.3169445179963572
('2104668415756019621-1', 3),0.2537110348808912
('-4321761401424335556-11', 1),0.204
('-1812892274496845563-11', 6),0.396
('602881035029691045811', 0),0.3527755019600963
('24485146568481510621-1', 0),0.2818255036483453
('91343094935286755291-1', 0),0.2756672854235908
('-47941045695819919821-1', 0),0.1943413479060064
('-30400784403517973381-1', 2),0.44102488350720004
('-12481405002566192891-1', 1),0.25934421426480553
('89912855054203346001-1', 3),0.4411609480711373
('450410086944882872611', 0),0.3
('-35576779520492394731-1', 2),0.396
('-913955823228899623211', 0),0.42672
('63387058851538664541-1', 1),0.39848064
('66309170071112915771-1', 0),0.39133148160000003
('-3040078440351797338-11', 1),0.44070276096
('89912855054203346001-1', 6),0.4298245315649864
('-6301780520603262500-11', 0),0.26922950946162366
('-4506445171328311741-11', 0),0.11222440348048705
('-49979020339353997691-1', 0),0.7999999999480272
('-525607290034250858211', 2),0.52048
('40150254054486148391-1', 0),0.5119703629012651
('-41147638633570216481-1', 0),0.4077275605357584
('-8595300895248883701-1', 0),0.3278101368652184
('88973194015900388071-1', 0),0.2646453005168794
('83529126874023450951-1', 0),0.21143852528469276
('-65343830452414344241-1', 0),0.1686131289577869
('905997187811749301111', 0),0.17337102571412788
('73429237263754891961-1', 2),0.10619648568501407
('-129379818389596691611', 0),0.3
('77854175395081172101-1', 2),0.396
('-676423806322778577611', 0),0.42672
('59284649471410755801-1', 3),0.4280446464
('70805896595473896261-1', 0),0.40355305299968003
('-13890464115188432681-1', 0),0.27009838536680686
('-878940687212426230011', 2),0.3
('-5708545243989400941-1', 0),0.397088
('29449741935963532191-1', 0),0.42672
('869261062795725451-1', 0),0.4365504
('-6960572293328090529-11', 0),0.439696128
('-5078862069637432176-11', 0),0.44070276096
('-83547289001353601501-1', 0),0.373779616022528
('53368743077622435341-1', 0),0.3374130988643999
('42557851957942614641-1', 0),0.3045511797337075
('-68146332464776349491-1', 2),0.19377762903609047
('7081559373663990111-11', 1),0.3
('1546708580455351501-11', 0),0.396
('62120899159016174011-1', 0),0.42672
('16939115555544586721-1', 2),0.4365504
('-182136132319815430411', 0),0.439696128
('-430345272681727075011', 2),0.44070276096
('80899369030633757951-1', 3),0.44102488350720004
('492993975154992173811', 0),0.44112796272230403
('822184207086169536411', 2),0.31686531854654876
('-889381417215426634311', 0),0.18
('40695145958900827421-1', 1),0.396
('-705508193370441377911', 0),0.42672
('6642675083517103091-1', 0),0.4365504
('-1833165967823051489-11', 4),0.439696128
('-13032302890834278361-1', 2),0.44070276096
('-90283241573036322471-1', 1),0.44102488350720004
('-83072987708014078801-1', 0),0.3257828880475934
('666845390752283615411', 0),0.25788110576247275
('-63017805206032625001-1', 2),0.1263442186469435
('-653693773719017431311', 0),0.3
('6227877352496205861-1', 3),0.396
('-835472890013536015011', 0),0.35420089050739506
('42557851957942614641-1', 2),0.3735965919243443
('-68146332464776349491-1', 0),0.11798596467567736
('39600485437354741361-1', 1),0.17111389458349419
('-16742136974855531811', 3),0.3
('-454116431064006779811', 0),0.3787609480711373
('-60233884925696231321-1', 0),0.2344400999918555
('55701198098862714651-1', 2),0.4365504
('-630178052060326250011', 3),0.2856067328992433
('-2204769239538136719-11', 1),0.3
('12720254784044237871-1', 0),0.37879613244322613
('210862786689877172811', 1),0.42672
('294886858225533985311', 0),0.2966950269549862
('-16759883049975713251-1', 3),0.3566040063651535
('-51243416427808198601-1', 0),0.7981860147200001
('-86254482242114761001-1', 0),0.6221330993152
('-48508994531140710841-1', 4),0.459488
('-32367142105321688411', 0),0.32226184169858213
('-64818290909948962471-1', 0),0.2868517368053691
('53583358740585196331-1', 0),0.28201963447577744
('-66257861554783412291-1', 4),0.44136848089088
('-625243186723709526811', 0),0.1999767177209812
('-56454710420130083881-1', 1),0.14531165210579677
('-11798126848158891521-1', 0),0.12028715194866817
('-58831432303854081421-1', 1),0.12452420087676998
('22830895973521010391-1', 0),0.12899315695910166
('-5227580952119817858-11', 3),0.13280826114357908
('-22341205325361660291-1', 0),0.62
('74629148357136657091-1', 0),0.4984
('53009896060783309181-1', 0),0.459488
('52168006102739800111-1', 0),0.44703616
('-425169929809270098811', 0),0.4430515712
('35920917561572108801-1', 0),0.441776502784
('87937541861775354551-1', 1),0.44136848089088
('221336970308425805711', 0),0.4412379138850816
('41932495887910624511-1', 0),0.34975562573342533
('15193565451189344521-1', 4),0.4411827623818324
('-224232594189903538411', 2),0.3
('87415675952899894771-1', 0),0.396
('-8656334190571397971-1', 1),0.42672
('-8186970865683375211-11', 0),0.4365504
('38466451965561577891-1', 0),0.439696128
('26048490368360053811-1', 1),0.44070276096
('40253422924756532351-1', 2),0.44102488350720004
('-195990647543690296-11', 0),0.44112796272230403
('8266091402147026771-1', 0),0.62
('-91623255859020644121-1', 1),0.4984
('43797240473536958351-1', 0),0.459488
('-4916421695544220269-11', 1),0.44703616
('-10391085627316153231-1', 1),0.4430515712
('-60575527031751086481-1', 2),0.441776502784
('1074997037660329288-11', 2),0.44136848089088
('6294512497636134991-11', 2),0.4412379138850816
('-6185149609549561911-1', 0),0.44119613244322614
('-5621068765436975497-11', 1),0.26470965742909947
('-138904641151884326811', 0),0.40588557433949823
('-450644517132831174111', 1),0.08674987946137064
('-8050020077328075296-11', 1),0.3
('-3040078440351797338-11', 0),0.35202505216650104
('2333707765328950855-11', 0),0.3328720372445656
('17260046050831197331-1', 0),0.16109876726502387
('-43128662702706231961-1', 0),0.62
('61921338646779854541-1', 0),0.4984
('335429610965932144011', 0),0.459488
('-81775510541115343621-1', 1),0.44703616
('-83718636423953248521-1', 3),0.4430515712
('-73361138265870474911-1', 1),0.441776502784
('65492922592036512021-1', 0),0.406266878836736
('-39530107439877111841-1', 0),0.4412379138850816
('-46719461069641693381-1', 0),0.44119613244322614
('-6163041253837695979-11', 0),0.38442593499564603
('-6779383157837504957-11', 1),0.260945806755089
('22468676231850417191-1', 0),0.62
('85517525926698961261-1', 0),0.4659008
('-53338636520079846631-1', 0),0.459488
('4560144974860624901-1', 0),0.44703616
('830628583110477989811', 0),0.4430515712
('-4442519039439729421-1', 0),0.38601988346544125
('32411317150539828501-1', 1),0.44136848089088
('792744533623807125911', 0),0.3831567071029494
('24919497309443966321-1', 0),0.28391647818562016
('-69036507491725285471-1', 0),0.26651729731555174
('-299873205150630541511', 1),0.318625649756664
('-14518914259372562751-1', 3),0.19877828401051767
('-5227580952119817858-11', 1),0.09386292935657752
('-5871793971543689180-11', 1),0.108
('79957667515877028211-1', 0),0.396
('424370996878082700111', 2),0.3925824
('-10156364243248363071-1', 0),0.4365504
('-849281757150620958311', 3),0.439696128
