board_hash,value
('455.03.01-1', 0),2.792731939372471e-83
('354.04.01-1', 0),0.00024232794066413935
('451.07.011', 0),0.0005438579646522785
('353.05.01-1', 3),0.00036062813549452114
('354.04.01-1', 3),0.0002540940375994493
('451.07.011', 1),0.0003522825953422941
('453.05.01-1', 1),1.2279129829570084e-293
('353.05.01-1', 2),0.0002764327313728705
('451.07.011', 3),0.0005466542287221877
('356.02.01-1', 0),0.0023546564585947157
('453.05.011', 0),0.00018144598980336898
('355.03.01-1', 3),6.36816269332571e-05
('452.06.011', 0),0.00027862179701521576
('454.04.01-1', 0),5e-324
('353.05.01-1', 1),0.00041126363040925733
('452.06.011', 3),0.0002571872495765626
('451.07.011', 2),0.0002900583255732934
('353.05.01-1', 0),0.0014720651912394933
('253.05.01-1', 1),0.0004109667670807913
('353.05.011', 3),0.0654256086654699
('353.05.01-1', 4),0.00019984536073704926
('353511', 3),0.002965248584601245
('453.05.01-1', 2),1.1737045113416547e-104
('354.04.01-1', 2),0.00022293134174444936
('253.05.01-1', 0),0.0004418648695567272
('353511', 0),0.0005525023566559314
('452.06.011', 2),0.0005793212450587509
('355.03.01-1', 2),0.00016192917011044938
('253.05.0-11', 3),0.9499999999999998
('355.03.0-11', 0),0.6935939497415592
('255.03.01-1', 2),0.005691339309579865
('353.05.011', 2),0.002365428697812571
('455.03.01-1', 3),1.1269670145346134e-05
('354.04.01-1', 1),0.0002753828692091783
('451.07.011', 4),0.00015404340516807246
('253.05.0-1-1', 4),0.005916698313557584
('352.06.0-11', 0),0.011326821771556849
('254.04.0-1-1', 0),0.006128720016739804
('352.06.0-11', 2),0.010944013798167226
('453.05.0-11', 1),0.006360195911741119
('352.06.01-1', 3),0.00011067587791276209
('452.06.0-11', 2),9.390309248382577e-05
('352.06.0-1-1', 0),2.2464893352639098e-05
('451.07.0-11', 0),3.206809761177867e-05
('355.03.0-1-1', 0),1.1545008926404951e-05
('253.05.0-1-1', 3),0.013118154401888907
('255.03.0-1-1', 3),0.015333252883606662
('352.06.0-11', 1),0.012811678862732248
('454.04.01-1', 2),1.91127638619759e-107
('452.06.011', 1),0.00033099512255801934
('253.05.0-1-1', 2),0.00919688387300914
('352.06.0-11', 3),0.03733618638385882
('253.05.0-1-1', 0),0.013443716959904902
('253.05.0-1-1', 1),0.01235587277768334
('256.02.0-1-1', 3),0.20060723491166732
('353.05.0-11', 1),0.9015525567494311
('253.05.01-1', 3),0.0001145351426751034
('353.05.011', 0),0.00047485481279075086
('453.05.01-1', 0),2.89545211707057e-250
('352.06.01-1', 1),0.000143628846531345
('452.06.0-11', 3),0.0001412818847033115
('352.06.01-1', 0),0.00016470541948316735
('452.06.0-11', 1),0.00014086755428749712
('353.05.0-1-1', 3),1.1099225521972175e-05
('451.07.0-11', 3),1.4925678256081033e-05
('352.06.0-1-1', 2),7.223131910215022e-06
('451.07.0-11', 1),3.360242621289716e-05
('353.05.0-1-1', 1),1.2852028761466126e-05
('451.07.0-11', 2),1.1157255401451319e-05
('352.06.0-1-1', 3),1.916634191779754e-05
('352.06.0-1-1', 1),7.058501350284846e-05
('354.04.0-1-1', 4),5.2463935825156505e-05
('352.06.0-11', 4),0.009611666209175524
('255.03.0-1-1', 1),0.0949494288706306
('353.05.0-11', 0),0.8998823501077092
('255.03.01-1', 0),0.008339773278050256
('453.05.0-1-1', 1),5e-324
('354.04.0-1-1', 3),0.00012186202955379365
('253.05.01-1', 2),0.0001180179342288015
('353.05.011', 1),0.0005732201657176945
('354.04.0-1-1', 2),3.4059134016611834e-05
('255.03.0-1-1', 4),0.00790112986550923
('452.06.0-11', 0),0.00026248289273853465
('356.02.0-1-1', 1),0.00013068373966664617
('454.04.01-1', 1),4.21174153154254e-294
('453.05.0-11', 2),0.0026694336887446214
('255.03.0-1-1', 2),0.0020858075371246575
('454.04.0-11', 1),0.0015488624278496808
('355.03.0-1-1', 4),0.00023191954422558078
('453.05.0-11', 0),0.006825885879643056
('256.02.01-1', 1),0.007861630843556998
('458.00.01-1', 1),0.245
('357.01.01-1', 2),0.0007010950000401507
('355.03.0-1-1', 2),0.001707626330867175
('355.03.01-1', 0),0.0006983620460313822
('454.04.0-11', 0),0.005963115767776176
('357.01.01-1', 0),0.00015606528289289096
('454.04.01-1', 6),0.12004999999999999
('35711-1', 1),0.0004468568444148013
('353.05.01-1', 6),0.0006339240333827868
('453.05.011', 1),9.258428161166643e-05
('355.03.01-1', 1),0.0014724178059658303
('255.03.01-1', 1),0.00743686101328805
('451.07.011', 6),0.0006012450988820734
('352.06.011', 3),0.0015012940974563405
('256.02.01-1', 6),0.35553413111879667
('352.06.01-1', 2),0.00014369770158719627
('353.05.0-1-1', 4),5.3463338629654685e-05
('355.03.0-1-1', 1),1.806606189099586e-05
('453.05.0-11', 6),0.1372677126900275
('453.05.0-1-1', 3),8.327965735588065e-59
('353.05.0-1-1', 0),1.19820725776863e-05
('254.04.0-1-1', 2),0.0017277845270469742
('353.05.0-1-1', 2),1.2134235806710568e-05
('254.04.0-1-1', 3),0.20078619075121487
('353.05.0-11', 4),0.7670171160061716
('255.03.0-1-1', 0),0.017951722579837934
('254.04.0-1-1', 1),0.008382305193401178
('454.04.01-1', 3),1.9815718083751097e-116
('451.07.0-11', 4),1.4907136570584477e-05
('354.04.0-1-1', 0),1.2157811746451775e-05
('354.04.0-1-1', 1),0.00052309181023287
('352.06.0-11', 6),0.010042660898233151
('455.03.011', 0),0.016546016627574142
('356.02.01-1', 3),0.0016729930501941897
('254.04.01-1', 2),0.015505463686938847
('352.06.0-1-1', 4),1.3309707100691519e-05
('253.05.0-1-1', 6),0.01595040077324515
('356.02.0-1-1', 0),0.00020702535808676348
('351.07.0-11', 3),0.32437517258906146
('257.01.0-1-1', 4),0.47916608103967206
('354.04.0-11', 0),0.8997697793630196
('456.02.01-1', 1),0.0011631525699360352
('352.06.011', 2),0.038206448800256504
('256.02.01-1', 0),0.011686309202669368
('254.04.01-1', 1),0.0024950954440560876
('353511', 1),0.0007527149029439232
('354.04.01-1', 4),0.0001272394633748512
('454.04.01-1', 4),2.091889236295461e-11
('353511', 4),0.36224564098600176
('356.02.0-1-1', 2),0.0005421406574287671
('454.04.0-11', 2),0.006566744645771785
('452.06.011', 4),0.00022337609664204903
('455.03.01-1', 2),5.5221383712196056e-06
('356.02.01-1', 2),0.0003681960731387148
('453.05.011', 4),0.01902415530564743
('453.05.01-1', 3),3.661646835763335e-111
('356.02.01-1', 1),0.00010487759557167088
('353.05.011', 4),0.0003198784024354258
('356.02.01-1', 4),0.00687578180109593
('253.05.0-11', 1),0.9499999999999998
('453.05.0-11', 3),0.007492668510890599
('458.00.01-1', 0),0.0023737807549715005
('35711-1', 0),0.0023400147928989623
('454.04.0-1-1', 1),5.75114671228362e-26
('456.02.01-1', 0),7.643350315971292e-08
('454.04.011', 0),0.02295650056797342
('352.06.011', 1),0.012515632550725068
('256.02.01-1', 3),0.04088698926075907
('35621-1', 0),0.0007916654129577653
('456.02.0-1-1', 1),2.091889236295461e-11
('355.03.0-1-1', 3),1.7895357422429622e-05
('357.01.0-1-1', 1),0.002904590016846821
('35531-1', 0),0.00031221619415890904
('353.05.0-11', 2),0.8861366931893737
('357.01.0-1-1', 0),0.0009894973374473695
('253.05.011', 0),0.9485045181243679
('355.03.011', 3),0.530975
('450.08.011', 0),0.048202427264917
('358.00.01-1', 1),0.1183261510798133
('255.03.01-1', 3),0.02569337544635768
('357.01.01-1', 1),0.0005284647571928678
('357.01.0-1-1', 3),0.0024746081333745333
('3544-11', 3),0.8962655335803029
('352.06.011', 0),0.003069493117499957
('254.04.01-1', 0),0.007568986454002523
('35621-1', 1),0.00013217431558447816
('3544-11', 0),0.9024973725071148
('352.06.01-1', 4),0.0005012489531638594
('253.05.011', 3),0.9318408768499999
('355.03.011', 0),0.8764711948981341
('256.02.01-1', 2),0.02081088704655691
('35621-1', 2),0.006625762623540768
('454.04.0-1-1', 3),5.5221383712196056e-06
('356.02.0-1-1', 3),8.37467851748636e-05
('453.05.0-11', 4),0.003971680357063583
('455.03.01-1', 1),2.988413194707802e-11
('455.03.01-1', 4),0.245
('3544-11', 4),0.8054335376654447
('453.05.011', 2),0.00016218915613822358
('456.02.0-1-1', 3),0.004844450520350001
('453.05.01-1', 5),0.12004999999999999
('353.05.01-1', 5),0.00016332744110631142
