board_hash,value
454.04.01-1,5e-324
353.05.01-1,1.3249426912220616e-08
452.06.011,1.4367485741655397e-07
451.07.011,1.3366941337285943e-08
453.05.011,9.250469887619683e-05
354.04.01-1,1.454349112699141e-07
253.05.01-1,4.84206592075002e-08
353.05.011,0.00017052857982321
455.03.01-1,2.395315329268683e-104
356.02.01-1,2.8696407968225907e-06
456.02.011,0.03372371826877188
357.01.01-1,2.4774726456684417e-05
256.02.01-1,0.00012445816310901903
355.03.01-1,2.9675403639347855e-06
453.05.01-1,5e-324
352.06.01-1,5.348925537861137e-07
452.06.0-11,6.817166943779643e-07
352.06.0-1-1,6.578258007485917e-08
451.07.0-11,6.524885954224002e-08
355.03.0-1-1,1.1129524995939417e-07
253.05.0-1-1,2.9036713114284456e-08
352.06.0-11,2.8781438428237996e-08
453.05.0-11,4.152710189843681e-08
35531-1,4.9783207126756624e-05
456.02.01-1,9.93137282130039e-14
255.03.01-1,0.07578211102553802
253.05.0-11,0.9499999999999998
353.05.0-11,0.8927094001474194
457.01.0-11,0.1856238914524379
354.04.0-1-1,9.497987097145608e-08
254.04.0-1-1,6.017166083020039e-08
353.05.0-1-1,9.451673509501575e-08
356.02.0-1-1,9.523044071437174e-06
353511,0.0002595880812659013
254.04.01-1,0.056893907176634693
450.08.011,0.0002821541485621339
358.00.01-1,0.0019376698348837697
255.03.0-1-1,3.888378843388817e-08
35711-1,9.564365273340286e-05
453.05.0-1-1,5e-324
352.06.011,3.90208920486692e-05
3544-11,0.90249997142701
456.02.0-1-1,9.93137282130039e-14
454.04.0-11,0.0002454876424920188
454.04.011,0.06790773368002892
456.02.0-11,0.037118855976816065
35621-1,0.0027929676970421613
457.01.01-1,1.1269670145346134e-05
256.02.0-1-1,0.02920395340893256
455.03.0-1-1,1.6172382548123818e-16
455.03.0-11,0.001164005388082731
357.01.0-1-1,1.0621564578219394e-05
455.03.011,0.0773872025194422
252.06.0-11,0.9437714207595499
356.02.0-11,0.8476446929504664
454.04.0-1-1,5.572229136586316e-28
354.04.0-11,0.8871420789286014
457.01.0-1-1,0.004844450520350001
452.06.01-1,1.0250257257847761e-11
254.04.0-11,0.9499137884458787
255.03.0-11,0.841955
253.05.011,0.9499999764049775
354.04.011,0.8845260850074106
355.03.011,0.9001001550337312
351.07.0-11,0.009247614387186907
257.01.0-1-1,0.0784968318455381
256.02.0-11,0.635
450.08.0-11,0.06016525951044931
358.00.0-1-1,0.1624047859740461
355.03.0-11,0.8942891506996923
254.04.011,0.7295
458.00.01-1,0.01412376245
251.07.0-11,0.635
357.01.0-11,0.530975
458.00.0-11,0.4542032951598334
350.08.0-11,0.2549810130878943
458.00.0-1-1,0.35
258.00.0-1-1,0.4226695887300499
