board_hash,value
633842778525992202711,0.3
89842486117490847691-1,0.396
91976346472286917651-1,0.42672
-230227702209204148811,0.3825574738026824
82083070333387336081-1,0.2145980627212679
5635705681112837301-1,0.20980625724836063
-1459338611857368051-1,0.336497552740626
117925805129220295811,0.24749400884582956
-522758095211981785811,0.07506058232027253
19775660413297735401-1,0.6920000000000001
-37834437133069773911-1,0.4984
322443014180388477911,0.2521145856
-3710376485416940351-1,0.427452008828704
-530767862602140566811,0.35910195685443996
2409590738814595301-1,0.32764740662699676
56408678194717244071-1,0.2620408009860367
-7327288845510588191-1,0.20945135526914413
-27204835674977390031-1,0.16683178985529473
22382994898054268451-1,0.13489208538016825
4270007622779794551-1,0.1085660572443852
235352346553285221711,0.3
-14409460292908631101-1,0.354883495313408
71354913945859720331-1,0.34002220703481856
48440903297974226131-1,0.33130464380593894
-84984118647429927401-1,0.2984207435202946
-630178052060326250011,0.20971618234954414
19907748733727631091-1,0.08270934700324307
18602307807272255101-1,0.7352000000000001
67189484615895975691-1,0.547552
72543483740380735011,0.459488
-23035020061819592601-1,0.379091187712
85667641521383274261-1,0.32512228646912
74612516663904344591-1,0.2954814613848064
47067730783710246411-1,0.44136848089088
17768802800189924791-1,0.4412379138850816
-564547104201300838811,0.3265238361617078
-11798126848158891521-1,0.15634020950837593
-58831432303854081421-1,0.12517352190044703
-450644517132831174111,0.08345533032900443
-52275809521198178581-1,0.08589934590902822
91768478440788652151-1,0.6920000000000001
-36349336986754553851-1,0.47032448000000004
53950821254370263011,0.38853834121216
-41338706687458377101-1,0.3502364092301312
39031247130249387751-1,0.3198765046021489
42950776177201170041-1,0.29674537390980993
-4489095036166709541-1,0.27813052943950656
-46320087196968783051-1,0.33904487755782475
-68035742276496203651-1,0.31151061459265705
223829948980542684511,0.20674089737574652
13524061602991842171-1,0.7352000000000001
-33840897244820082171-1,0.4984
-80090373411803695551-1,0.459488
-30684278546296722491-1,0.44703616
-62429854879526430941-1,0.4430515712
5591130028322726178-11,0.441776502784
-43695211538794661371-1,0.44136848089088
-243644377868527057111,0.4412379138850816
-538503015919522987511,0.44119613244322614
-24751069892020704641-1,0.3848326710851988
-6804097292909333467-11,0.3086751544902613
8221842070861695364-11,0.11072627451184133
-45064451713283117411-1,0.10737418260376431
48426173727084751851-1,0.6920000000000001
-31333012525958589101-1,0.4984
-28790988287805136161-1,0.459488
9168776058789258038-11,0.44703616
-1078858014118275481-11,0.41522639872
-9117588843104526279-11,0.38402135220224
14989541247166094771-1,0.28518722074838887
-89493321103442838041-1,0.4412379138850816
-1873560430421660761-11,0.2812914168705636
-8735968997204276981-11,0.1974919147479339
79295762193999480031-1,0.16777216001578238
82218420708616953641-1,0.13421772806162732
-18109286407691626561-1,0.7949611520000001
-279883278101835576911,0.35663999999999996
-427758168240849092811,0.205070727168
-19859390623173083781-1,0.5338781524549406
32056549054375265791-1,0.41926058352002116
-79869733655691257591-1,0.3726971916436676
-30004515295357889391-1,0.28461996543481993
7189186571933935271-1,0.25147285314421697
-13111603287310481111-1,0.30585969658924195
-66761094715098550721-1,0.2989801718472613
32348145519830060901-1,0.27895814812274855
5718381775768089831-1,0.296221942088626
-991053533901044404-11,0.31804999694185243
-5227580952119817858-11,0.07904297840000028
877242092980798648911,0.18
-5298720796585137671-1,0.396
327907506690088038511,0.42672
-84124113777913865771-1,0.41940454400000005
889287968419628584111,0.439696128
19288428787938772281-1,0.3456726850266727
-88308103717941732801-1,0.3332886658043085
-142484896970830258211,0.27195719348725633
-81850568879806316571-1,0.20983126272132357
69171425718110354041-1,0.16791896850459176
79571441393048915181-1,0.13433347122014885
822184207086169536411,0.11892432490293037
-421324424946357450511,0.3
58312842901893753671-1,0.45904000000000006
92068037035716841681-1,0.42672
-84132564817583742981-1,0.4365504
3886038589492026551-1,0.439696128
51883042757978335041-1,0.44070276096
5355140493299485624-11,0.44102488350720004
-8855058680753288490-11,0.44112796272230403
-50935121202045524951-1,0.40589270128590854
6668453907522836154-11,0.2941733012902471
-63017805206032625001-1,0.0921547201636478
-4821437013712931561-1,0.7916019200000001
-61916590643881483531-1,0.5880071334205851
15550392963826629531-1,0.3886849266224464
-634684185752636123811,0.31550800058865686
65085676207877365581-1,0.2588681647373161
8683620238337018101-1,0.20671553067701015
-73253737470154299771-1,0.16517117767088746
73651377026624457961-1,0.1321294806129497
22177310649443975511-1,0.10596162027344382
-534816594550734756811,0.3
-16207164763562490771-1,0.396
-22562388810999867111-1,0.42672
57861998007077684201-1,0.4365504
683438577924493831311,0.3885043332186112
-68251181398329971881-1,0.3217449414872243
172600460508311973311,0.26163285209693216
-29987320515063054151-1,0.1318408333873125
-14518914259372562751-1,0.10503826172997091
-34253054680050599291-1,0.6920000000000001
-144128748049785377211,0.463812036608
-64010120836918992811-1,0.4333004040542781
81568981052015195241-1,0.38626954240000005
-59762307158917930161-1,0.3963646464
8072986521688774723-11,0.3198951579287646
-919558236869398370-11,0.282832461822619
-18735604304216607611-1,0.24997679884017535
18326867117680162361-1,0.62
63717753309533515481-1,0.4984
80948083366409716151-1,0.459488
-81761947520673086351-1,0.44703616
46292152753756226261-1,0.4430515712
817387826422332819-11,0.441776502784
8370982738859698790-11,0.44136848089088
613168332160922021411,0.4412379138850816
32768338563124589821-1,0.44119613244322614
4485364546249885384-11,0.4411827623818324
-1863074174117804588-11,0.2788061529000888
4926995487893885421-1,0.10155812580748451
65933939688291892681-1,0.08316598833244597
-2757045568615515025-11,0.3
-71546510900783597481-1,0.396
-48653749313887391681-1,0.42672
7857800325676730621-11,0.4365504
-325900390825939847411,0.439696128
-79126436049438921201-1,0.26632769971465364
-14888130274509050791-1,0.2673192137394651
14793596341145972111-1,0.28454210506399263
2624389600225728387-11,0.2786641718394867
82000022436402609351-1,0.7999999999999999
15571830596674080011-1,0.5032748544737569
74877255562301036841-1,0.3819363221314038
-18331659678230514891-1,0.31282648697544674
-13032302890834278361-1,0.25643933486003356
31372236480824206631-1,0.2763735574599026
-50905128290737573311,0.25605620068978574
66684539075228361541-1,0.10437484130674529
-480686435925779958311,0.3
69148141141495243531-1,0.396
-2968406410443842957-11,0.42672
258428401953290112011,0.4365504
285842938136098424411,0.30596092928
81000477021976568891-1,0.27927292311961605
-17066351734080214341-1,0.44102488350720004
-63263921659270716391-1,0.44112796272230403
-195000857477292072111,0.34786071577324373
792957621939994800311,0.1580286099583121
-55870997408120380081-1,0.62
5303343361776473001-1,0.4984
86103494374385339561-1,0.459488
-704250278174770858811,0.44703616
-23403014807950003391-1,0.4430515712
991094948957422711-1,0.441776502784
243654051456874858611,0.44136848089088
-53217736126975712931-1,0.406111229221929
39943746206249978861-1,0.4058456421882397
-17298217079436632331-1,0.4411827623818324
13468573061458312881-1,0.4411784839621864
-8615851769518873229-11,0.4411771148678997
3746478275667035496-11,0.3127449530959347
-312291621672586747911,0.3
-407334258167425559311,0.396
-753016355982586805911,0.42672
65026269956945887951-1,0.48337024000000006
-27043731168840496341-1,0.439696128
53124850553512525841-1,0.44070276096
-35587420172581603721-1,0.44102488350720004
-336940005275724461911,0.44112796272230403
52778366852558336351-1,0.3270438840136945
-39952481494280915131-1,0.3051169339082505
90608422577589251061-1,0.2808864862943628
-323254669362136218411,0.25247765983374637
87485954884240011021-1,0.048816435000443095
526164040439538540211,0.3
56291415341375082991-1,0.396
-757026333148265119511,0.42672
-434362844470223584111,0.4030893412352
-90247198223385793911-1,0.27338901464434945
59028123993995954251-1,0.2427291034423918
7217713881008218061-1,0.228386218121259
-560911458708665256111,0.2144707813055916
26243896002257283871-1,0.08482068324830205
-639650067965368879211,0.3
62323915235910541921-1,0.396
-8162380393572225635-11,0.42672
-6324581234366173431-1,0.40295512350720003
84869597551866360051-1,0.39276331632230405
4768468639187891871-1,0.3901059177991373
-4814593960189772251-1,0.37484417536251086
210466841575601962-11,0.262419026457865
419324958879106245111,0.3
15193565451189344521-1,0.3787784839621864
427000762277979455-11,0.25784771381899324
-24742889225414432671-1,0.62
-4344426917047117791-1,0.4984
177798042636113036111,0.459488
-13437482256607508971-1,0.44703616
76137858572417544581-1,0.4430515712
-3298153986694056901-11,0.441776502784
-3355651901305392012-11,0.44136848089088
-78033461926015462191-1,0.4412379138850816
886936197971078354711,0.44119613244322614
28853325043669568581-1,0.3618744290361354
50888589552972865331-1,0.3354811915789003
-5615789709772193877-11,0.2464283274718265
771801212355352724811,0.27599999999999997
76161162174554639061-1,0.32592
-4974115154886329831-1,0.3603264
-59311012401479323611-1,0.377234688
55661434594510978871-1,0.439696128
83633863356087565771-1,0.44070276096
800035881701174889-11,0.44102488350720004
-6814633246477634949-11,0.22065948578974584
-69048616076743072871-1,0.62
-65677784286155747161-1,0.4984
52126192803893354951-1,0.459488
-818017977563840150711,0.44703616
-56592042992124917581-1,0.4430515712
68853761774676355441-1,0.441776502784
-258908064426401742811,0.3842721917140992
-59206949903980647381-1,0.23015267910175216
17323581712238248701-1,0.2781857181747369
-8009595426147556354-11,0.2701602204867477
88977695431096998921-1,0.6920000000000001
784599817047758037711,0.4984
-50197705794783335441-1,0.459488
91894004915494416521-1,0.44703616
44635576854472817371-1,0.4430515712
-55827397677861816011-1,0.441776502784
-888771443135113880111,0.406189569425408
-79135270861708999241-1,0.2510187241877239
607164704965454757511,0.2876009782697357
46444617002430699121-1,0.13928459508088137
-4088955793253964501-11,0.3
-6126477822781757301-11,0.396
1249453911571331124-11,0.42672
49182974591643146771-1,0.4365504
-2597048313838515279-11,0.439696128
-24405958600160383011-1,0.2910277996513067
-28298409234057517591-1,0.2614855519910809
-17232952059696189911-1,0.2353372617790595
80694944617814771371-1,0.28796284970378694
736513770266244579611,0.18715208226487764
19046769159787780901-1,0.09013921091020374
5811271487894477940-11,0.18
-55318137312687549731-1,0.396
509729987408635913311,0.42672
12622023268978043491-1,0.3617625937510401
-74629513994017096011-1,0.35808491790336006
-2816086904186271191-1,0.44070276096
-33140066973196526201-1,0.44102488350720004
-302728373187150005711,0.40645328041738243
-75950842889314907211-1,0.3687830106979192
56769108793223944911-1,0.40591067005468545
4644461700243069912-11,0.32848187507108556
7115544076793792257-11,0.3
-2154030870224242222-11,0.40632857600000005
-18128922744968455631-1,0.394521632647807
-34336052768368358861-1,0.3603503009792
12289310447565000671-1,0.3893881032704
-46845353085096949461-1,0.44070276096
-3402230502875687347-11,0.44102488350720004
-413790964325501528011,0.34267825591718715
78339316110681375851-1,0.1510555420235756
84306714741459162571-1,0.1295518316546605
694879370285538069311,0.33534848
-40377755729527093871-1,0.3087617536
-8100983460024181991-1,0.363472128
-55994464476462269561-1,0.37824132096
-8940420562379485771-1,0.3369278287872
-67346867398210379651-1,0.335554893103104
7486314694696674-11,0.2299247006361846
4255785195794261464-11,0.33767602443274913
-68146332464776349491-1,0.10995077814239862
