board_hash,value
('30833643820309311132.06.0-1', 4),0.0
('90343059354733614301.07.0-1', 4),0.0
('67866346191482781901.07.0-1', 2),0.0
('-43508598122697165095.03.0-1', 1),0.0
('15796548756863545742.06.0-1', 1),0.285
('-90830662052216800772.06.0-1', 4),0.04365095690122479
('55062805023022945916.02.0-1', 1),0.0
('5360294696714837424.04.0-1', 1),0.13983943082980388
('55062805023022945912.06.0-1', 4),2.3094607539144092e-14
('24053130381942834021.07.0-1', 0),0.6367474947427858
('-23969250533977802974.04.0-1', 4),0.029689617849003
('10257330033284477452.06.0-1', 2),0.017268451197889494
('45730521064344757632.06.0-1', 0),0.012543282759099958
('55062805023022945915.03.0-1', 1),0.0
('-90830662052216800773.05.0-1', 4),4.871109035126349e-05
('-73930370481630757332.06.0-1', 1),0.721905
('12276402925015041532.06.0-1', 4),0.44691661901454843
('6985332516427876375.03.0-1', 1),0.0
('-67457680714776991703.05.0-1', 4),0.0
('-85878908719772368042.06.0-1', 4),0.0
('-6544595077466652971.07.0-1', 2),0.0
('2687491243839007283.05.0-1', 0),0.0
('61847751248396637775.03.0-1', 0),0.0
('26855361477361601031.07.0-1', 1),0.9496285670003846
('-1093251340414637351.07.0-1', 4),0.719871228684893
('44430575519807662721.07.0-1', 4),0.6188798595114674
('6176133793355213461.07.0-1', 1),0.4845
('-42132490760598427971.07.0-1', 4),0.8227565221282613
('2763719064377304653.05.0-1', 2),0.631977771147114
('18861267936015680973.05.0-1', 4),4.509591152584991e-13
('71575699267197452154.04.0-1', 1),0.4845
('-34855480588988600404.04.0-1', 4),0.19494
('26855361477361601032.06.0-1', 4),0.830549595877955
('17211520026901358141.07.0-1', 1),0.9499948588891763
('16346691529240042281.07.0-1', 4),0.6322839056631311
('61847751248396637771.07.0-1', 4),0.7327297641562225
('22659080022990941305.03.0-1', 1),0.0
('-70567224773955961592.06.0-1', 4),0.0
('-54538656093140390801.07.0-1', 4),0.0
('16346691529240042282.06.0-1', 2),0.0
('61847751248396637771.07.0-1', 0),0.6695728384650743
('17451646426496156866.02.0-1', 1),0.0
('-16685987485397617602.06.0-1', 1),0.62415
('-23969250533977802972.06.0-1', 4),0.3895632225
('45730521064344757632.06.0-1', 2),0.3198642957986104
('-37296331457702316511.07.0-1', 0),0.2715509857067637
('-19216608732665155002.06.0-1', 4),0.2765870214903292
('84815117108260322711.07.0-1', 1),0.62415
('-43433083859887944342.06.0-1', 4),0.7948998297775955
('2763719064377304653.05.0-1', 0),0.2935694011720789
('17147504237118092862.06.0-1', 1),0.9499999995173791
('-90830662052216800772.06.0-1', 1),0.83823345
('24053130381942834023.05.0-1', 4),0.3777464105422506
('2763719064377304654.04.0-1', 4),0.8488892373556085
('80650631874694128491.07.0-1', 1),0.285
('86944882395169569472.06.0-1', 4),0.08122499999999999
('50056798536678283692.06.0-1', 4),0.0009341506926438749
('-41445460065892409832.06.0-1', 2),0.07256545933835881
('-37022355142283679624.04.0-1', 1),0.0
('-17172472452468482583.05.0-1', 4),0.0
('-79404453594330589223.05.0-1', 4),0.0
