board_hash,value
('453.05.01-1', 1),1.4446273453190912e-294
('353.05.01-1', 0),2.396775623580723e-06
('451.07.011', 1),2.578822376016546e-06
('253.05.0-11', 3),0.9499999999999998
('353.05.0-11', 1),0.8098003095656062
('255.03.0-1-1', 0),0.00010940754393356207
('3544-11', 1),0.7129509940877967
('454.04.01-1', 0),5e-324
('353.05.01-1', 2),2.605668236328085e-06
('451.07.011', 3),2.4310020092316924e-06
('353.05.01-1', 1),2.3962260352538246e-06
('451.07.011', 0),2.404065608997802e-06
('453.05.01-1', 0),3.762200248857381e-256
('451.07.011', 2),2.702179426793612e-06
('356.02.01-1', 1),5.8008617687162924e-05
('453.05.011', 1),0.00011602140030858468
('354.04.01-1', 2),1.5220304830035539e-05
('453.05.011', 0),4.796355290168097e-05
('354.04.01-1', 1),3.096441417956131e-06
('353.05.01-1', 3),2.7209042014221404e-06
('253.05.01-1', 1),2.517522160243909e-06
('353.05.011', 2),1.103668883270462e-05
('354.04.01-1', 0),1.885871242903313e-06
('454.04.01-1', 1),4.779292717330934e-286
('253.05.0-1-1', 2),1.963804809963821e-05
('352.06.0-11', 0),1.5129130768313565e-05
('453.05.0-11', 1),5.4293011073607895e-05
('452.06.011', 0),2.1941258081652747e-06
('253.05.01-1', 2),3.435905649416676e-06
('353.05.011', 0),5.176969721062694e-06
('353.05.011', 1),1.2850570555715265e-05
('453.05.01-1', 3),6.126406552895308e-101
('454.04.01-1', 2),2.0451976958492553e-114
('353.05.011', 3),6.0579476970502276e-05
('455.03.011', 0),0.05965373967050577
('356.02.01-1', 2),0.00011817387516073875
('454.04.01-1', 4),2.0268107798572224e-13
('353511', 2),0.00033784416314096885
('353.05.01-1', 4),5.82955930926937e-06
('452.06.011', 2),4.9863628054647304e-06
('453.05.011', 2),0.00011640791174561397
('354.04.01-1', 3),3.5725200464281177e-06
('35621-1', 2),0.00014185834625555902
('451.07.011', 4),4.422841639317244e-06
('355.03.01-1', 1),1.9319361325824284e-05
('253.05.01-1', 4),8.247717873672932e-05
('255.03.01-1', 3),0.010598954337794305
('353511', 1),0.001358012966856809
('352.06.01-1', 3),2.357883546806466e-05
('452.06.0-11', 0),1.4555031133513843e-05
('353.05.0-1-1', 1),8.398584637726457e-06
('451.07.0-11', 3),4.368995252064609e-06
('353.05.0-1-1', 4),6.407939153672721e-05
('352.06.0-1-1', 1),4.619289564412834e-06
('451.07.0-11', 2),4.89821394911356e-06
('352.06.0-1-1', 2),4.42722571795347e-06
('451.07.0-11', 1),4.7512832835400176e-06
('352.06.0-1-1', 0),4.4720208775564676e-06
('451.07.0-11', 4),1.0433984457603065e-05
('354.04.0-1-1', 1),6.661537638287313e-06
('352.06.0-11', 2),1.738647057162471e-05
('253.05.0-1-1', 0),1.699521727142571e-05
('352.06.0-11', 1),1.63682434369639e-05
('453.05.0-11', 3),4.2218260396702425e-05
('453.05.01-1', 2),1.5740182889183218e-108
('253.05.01-1', 0),4.271223614398979e-06
('352.06.011', 1),7.743793110183604e-05
('256.02.01-1', 3),0.23770131842754913
('353.05.011', 4),0.021500385716097085
('454.04.01-1', 3),7.960334802988714e-107
('253.05.01-1', 3),2.271825784125235e-06
('255.03.01-1', 2),0.003600078913214831
('453.05.0-11', 0),4.042192929436111e-05
('453.05.01-1', 4),1.722760737326473e-12
('452.06.011', 1),2.002602060966751e-06
('355.03.01-1', 0),2.0551834223285693e-05
('453.05.0-1-1', 1),5e-324
('354.04.0-1-1', 0),6.3773240583936295e-06
('353.05.0-1-1', 0),7.242905616715688e-06
('355.03.0-1-1', 1),1.0168485131431033e-05
('352.06.0-1-1', 3),4.425171701517406e-06
('451.07.0-11', 0),4.41706178944741e-06
('452.06.0-11', 3),2.026327570463002e-05
('352.06.0-1-1', 4),1.261773106629449e-05
('253.05.0-1-1', 3),1.7676735526706315e-05
('253.05.0-11', 1),0.9499999999999998
('353.05.0-11', 0),0.9024999949032787
('354.04.01-1', 4),4.128938810657146e-05
('254.04.0-1-1', 0),3.644895010029512e-05
('353.05.0-11', 3),0.8096792995294539
('457.01.01-1', 0),5.5221383712196056e-06
('357.01.01-1', 2),0.0003409009174254325
('455.03.01-1', 0),7.888776499644919e-85
('352.06.01-1', 2),4.081608988702541e-05
('356.02.01-1', 4),0.02936384113439596
('254.04.01-1', 2),0.010933654696033617
('352.06.01-1', 5),0.1461018931369905
('452.06.0-11', 2),4.150306478664296e-05
('355.03.0-1-1', 0),6.614988654148838e-05
('35531-1', 0),8.297318083845723e-05
('353.05.01-1', 5),2.045732398400832e-05
('451.07.011', 5),1.765113542095013e-05
('3544-11', 0),0.9022851430995418
('454.04.0-1-1', 3),2.705847801897607e-06
('352.06.0-1-1', 5),0.00015318307783191906
('352.06.0-11', 5),0.002612716866479888
('352.06.0-11', 3),2.3611626529391496e-05
('352.06.01-1', 1),3.2048348851276987e-06
('355.03.0-1-1', 2),0.0012509302238565704
('253.05.0-1-1', 4),0.00012847647576887838
('256.02.0-1-1', 2),0.12767285951478707
('355.03.01-1', 5),0.06308757992128404
('452.06.011', 3),2.6588980461846362e-06
('352.06.011', 0),0.004358041319501234
('256.02.01-1', 1),0.0008845228660973153
('353.05.0-1-1', 3),5.856471349296201e-05
('354.04.0-1-1', 3),0.00015791126144918278
('453.05.0-11', 2),0.00010152881687057758
('355.03.0-1-1', 3),1.1608351582000834e-05
('253.05.0-1-1', 5),0.0012247818493813282
('255.03.0-1-1', 5),0.15088608270009743
('352.06.01-1', 4),0.0005627683373618029
('451.07.0-11', 5),0.00012064780269226293
('356.02.0-1-1', 3),0.00047593538889925034
('458.00.0-1-1', 1),0.0588245
('357.01.0-1-1', 3),0.0018256839006082538
('255.03.0-1-1', 1),4.696110839348101e-05
('35531-1', 2),0.00020556537836178206
('35621-1', 0),0.00017165682937167354
('455.03.01-1', 2),6.496740572356155e-07
('353.05.011', 5),0.004333810933782797
('255.03.01-1', 0),0.012970740532417955
('355.03.011', 1),0.4808942869478622
('256.02.01-1', 2),0.006433594937845994
('357.01.01-1', 0),0.00010124879755941767
('357.01.01-1', 3),0.0021757108094510686
('254.04.01-1', 1),0.00691956724165293
('352.06.011', 2),0.0015624787388210742
('256.02.01-1', 0),0.015659438002322144
('253.05.0-1-1', 1),1.5195496840837861e-05
('353511', 0),0.001307454526520413
('454.04.0-1-1', 1),1.6767191581001805e-25
('452.06.0-11', 4),0.0006150509002229523
('353.05.0-1-1', 2),8.637217409453984e-05
('254.04.0-1-1', 2),0.0002064079449116648
('453.05.011', 3),0.0004978760572911997
('353.05.01-1', 6),0.000533003035194402
('451.07.011', 6),0.0008230395318880165
('352.06.011', 3),0.00035946474785276744
('253.05.01-1', 6),0.03625918368745627
('352.06.011', 4),0.030982906858552532
('353.05.011', 6),0.17976187385547948
('355.03.01-1', 3),9.374401494454638e-05
('353511', 4),0.5879074056877283
('254.04.0-1-1', 1),0.00010884059279051404
('455.03.0-11', 3),0.007172864716211467
('355.03.01-1', 2),0.00010158761783856017
('454.04.0-11', 1),0.00397601816283145
('354.04.0-1-1', 2),2.0587259240634918e-05
('452.06.0-11', 1),1.0185964077660834e-05
('256.02.0-1-1', 1),0.012127859819467682
('456.02.01-1', 0),5.183896538159428e-10
('253.05.01-1', 5),0.0033751987784506844
('353.05.0-11', 2),0.5287415959677491
('255.03.0-1-1', 2),0.0015861019689249229
('256.02.0-1-1', 0),0.023936742550452122
('453.05.0-1-1', 3),3.711577815539659e-65
('357.01.0-1-1', 0),0.0001161790920671333
('356.02.0-1-1', 0),0.00023715061351013296
('254.04.0-1-1', 3),0.0003419917845349399
('352.06.0-11', 4),8.048242213163423e-05
